numero	saison	player_id	player	round	lat	lng	country_code	guess_lat	guess_lng	distance
17	1	5e626d0512777c7a20431f1c	LordOozik	2	48.805312951484204	1.7710926380961485	fr	49.09925781421148	6.210235555504218	325.743616
17	1	5e626d0512777c7a20431f1c	LordOozik	3	-15.689255077894094	-72.60740641342713	pe	-5.921054699431386	-76.77171439436566	1177.325276
17	1	5e626d0512777c7a20431f1c	LordOozik	4	46.49336555593477	-122.93660062434154	us	47.6303493799728	-121.21836521337416	181.438345
17	1	5e626d0512777c7a20431f1c	LordOozik	5	64.0698626	-141.9400656	us	46.8376514479229	-112.22694399132756	2633.421329
17	1	61f34541904c1e0001f465da	Comte	1	48.70413019129316	-3.375875646970923	fr	48.515646039093056	-3.298337502464679	21.719917
17	1	61f34541904c1e0001f465da	Comte	2	48.805312951484204	1.7710926380961485	fr	48.35576562106494	5.6932698109467506	292.789928
17	1	61f34541904c1e0001f465da	Comte	3	-15.689255077894094	-72.60740641342713	pe	-12.172847042798262	-75.14454804267726	477.320212
17	1	61f34541904c1e0001f465da	Comte	4	46.49336555593477	-122.93660062434154	us	45.99889156591404	-112.52339101209124	802.057191
17	1	61f34541904c1e0001f465da	Comte	5	64.0698626	-141.9400656	us	39.27507526421343	-106.89491158587245	3577.461488
17	1	66c34181c361d9f3b9a03d9b	OG	1	48.70413019129316	-3.375875646970923	fr	48.16123740916267	-2.4682697942396103	90.154016
17	1	66c34181c361d9f3b9a03d9b	OG	2	48.805312951484204	1.7710926380961485	fr	48.90548777397717	1.2389153497975958	40.497084
17	1	66c34181c361d9f3b9a03d9b	OG	3	-15.689255077894094	-72.60740641342713	pe	-11.586207345855394	-74.15879087377836	486.048303
17	1	66c34181c361d9f3b9a03d9b	OG	4	46.49336555593477	-122.93660062434154	us	40.487015946462115	-82.36664259798151	3302.318619
17	1	66c34181c361d9f3b9a03d9b	OG	5	64.0698626	-141.9400656	us	45.953830309310185	-112.3011506990339	2713.646602
17	1	677485108d7eb43c58f713b3	Master__Of__Kitten	1	48.70413019129316	-3.375875646970923	fr	48.14232530183911	-3.5757297047089565	64.186944
17	1	677485108d7eb43c58f713b3	Master__Of__Kitten	2	48.805312951484204	1.7710926380961485	fr	48.847293987840104	2.2342265018244234	34.223290
17	1	677485108d7eb43c58f713b3	Master__Of__Kitten	3	-15.689255077894094	-72.60740641342713	pe	-11.058175291306224	-75.37762064585556	595.757037
17	1	677485108d7eb43c58f713b3	Master__Of__Kitten	4	46.49336555593477	-122.93660062434154	us	39.92707158566994	-79.82961982292336	3523.330232
17	1	677485108d7eb43c58f713b3	Master__Of__Kitten	5	64.0698626	-141.9400656	us	46.851257666477665	-115.5491462264831	2499.613512
17	1	5e8fdfa9d51dd65c18f98403	Tbowfr	1	48.70413019129316	-3.375875646970923	fr	47.84281506566972	-2.4392752615316793	118.224055
17	1	5e8fdfa9d51dd65c18f98403	Tbowfr	2	48.805312951484204	1.7710926380961485	fr	48.91990194636891	2.0821039334867875	26.075939
17	1	5e8fdfa9d51dd65c18f98403	Tbowfr	3	-15.689255077894094	-72.60740641342713	pe	-16.818903388527907	-67.08223127752768	603.012922
17	1	5e8fdfa9d51dd65c18f98403	Tbowfr	4	46.49336555593477	-122.93660062434154	us	42.48391265730435	-75.26881099156537	3749.591614
17	1	5e8fdfa9d51dd65c18f98403	Tbowfr	5	64.0698626	-141.9400656	us	47.32002019521477	-92.99380178996289	3463.580260
17	1	68f2e3307b1dd2467d0fc0f5	Etterima	1	48.70413019129316	-3.375875646970923	fr	45.30376092218556	1.5813668974607786	532.948557
17	1	68f2e3307b1dd2467d0fc0f5	Etterima	2	48.805312951484204	1.7710926380961485	fr	48.76524021198288	2.1430330807738107	27.611880
17	1	68f2e3307b1dd2467d0fc0f5	Etterima	3	-15.689255077894094	-72.60740641342713	pe	-24.16485341107472	-64.52906562785111	1264.677024
17	1	68f2e3307b1dd2467d0fc0f5	Etterima	4	46.49336555593477	-122.93660062434154	us	38.822009869297865	-88.00870601582162	2953.756831
17	1	68f2e3307b1dd2467d0fc0f5	Etterima	5	64.0698626	-141.9400656	us	47.72796912601143	-115.65674268440122	2411.924241
18	1	61f34541904c1e0001f465da	Comte	1	18.37977433974496	-65.84342720989409	pr	18.217123881950304	-66.60237828835159	82.139924
18	1	61f34541904c1e0001f465da	Comte	2	-33.70927340310164	19.031054856724655	za	-31.897356162064558	18.663276748764268	204.386673
18	1	61f34541904c1e0001f465da	Comte	3	7.873503017856356	-81.47478052487672	pa	8.823328831054985	-82.68178422844403	169.669008
18	1	61f34541904c1e0001f465da	Comte	4	-23.655072968484127	-64.47744443492253	ar	-21.265289141865725	-63.791651079336766	274.915728
18	1	61f34541904c1e0001f465da	Comte	5	49.06044194593718	-81.02166884371292	ca	49.778001521841716	-86.47476891507333	402.338991
18	1	677485108d7eb43c58f713b3	Master__Of__Kitten	1	18.37977433974496	-65.84342720989409	pr	18.385727590003988	-65.96999739639413	13.372177
18	1	677485108d7eb43c58f713b3	Master__Of__Kitten	2	-33.70927340310164	19.031054856724655	za	-33.68839325976148	20.276034925172773	115.196223
18	1	677485108d7eb43c58f713b3	Master__Of__Kitten	3	7.873503017856356	-81.47478052487672	pa	8.085462596935129	-80.8234544302669	75.496105
18	1	677485108d7eb43c58f713b3	Master__Of__Kitten	4	-23.655072968484127	-64.47744443492253	ar	14.296371249111656	102.50330415810511	18297.359214
18	1	677485108d7eb43c58f713b3	Master__Of__Kitten	5	49.06044194593718	-81.02166884371292	ca	49.06520707931998	-81.02975132252843	0.792165
18	1	68f2e3307b1dd2467d0fc0f5	Etterima	1	18.37977433974496	-65.84342720989409	pr	18.34013521587935	-65.76014700420284	9.832254
18	1	68f2e3307b1dd2467d0fc0f5	Etterima	2	-33.70927340310164	19.031054856724655	za	35.89060690806323	14.507208453664564	7753.418968
18	1	68f2e3307b1dd2467d0fc0f5	Etterima	3	7.873503017856356	-81.47478052487672	pa	9.255427902768622	-83.51737015793694	272.124189
18	1	68f2e3307b1dd2467d0fc0f5	Etterima	4	-23.655072968484127	-64.47744443492253	ar	-31.814543877044322	-65.5256830382961	913.120411
18	1	68f2e3307b1dd2467d0fc0f5	Etterima	5	49.06044194593718	-81.02166884371292	ca	46.332200691452506	-79.42117228639934	326.138158
18	1	66c34181c361d9f3b9a03d9b	OG	1	18.37977433974496	-65.84342720989409	pr	18.305258807098582	-65.80082024950225	9.427425
18	1	66c34181c361d9f3b9a03d9b	OG	2	-33.70927340310164	19.031054856724655	za	17.40014508189553	-94.5847284994824	13226.003858
18	1	66c34181c361d9f3b9a03d9b	OG	3	7.873503017856356	-81.47478052487672	pa	10.020312724931513	-83.95642881633749	362.325547
18	1	66c34181c361d9f3b9a03d9b	OG	4	-23.655072968484127	-64.47744443492253	ar	-29.507548448668313	-59.688423669998066	806.174373
18	1	66c34181c361d9f3b9a03d9b	OG	5	49.06044194593718	-81.02166884371292	ca	51.073400559944226	-93.81034412114853	938.512062
18	1	5e42bdaa1e34a041f065f7ce	Racacax 0	1	18.37977433974496	-65.84342720989409	pr	18.369438487825164	-65.77627623313548	7.178753
18	1	5e42bdaa1e34a041f065f7ce	Racacax 0	2	-33.70927340310164	19.031054856724655	za	-29.503315207142897	28.23893793415812	988.902039
18	1	5e42bdaa1e34a041f065f7ce	Racacax 0	3	7.873503017856356	-81.47478052487672	pa	-11.97954724076366	-48.23815751004496	4286.692984
18	1	5e42bdaa1e34a041f065f7ce	Racacax 0	4	-23.655072968484127	-64.47744443492253	ar	-11.427311217749455	-74.87592465189343	1748.675612
18	1	5e42bdaa1e34a041f065f7ce	Racacax 0	5	49.06044194593718	-81.02166884371292	ca	49.68132570285646	-83.67935082789957	204.427339
18	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	1	18.37977433974496	-65.84342720989409	pr	13.401848390575816	144.70264464144225	15146.480607
18	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	2	-33.70927340310164	19.031054856724655	za	-24.631206433053503	31.022237669050114	1538.757532
18	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	3	7.873503017856356	-81.47478052487672	pa	6.940317430198678	-75.26176198893027	692.891706
18	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	4	-23.655072968484127	-64.47744443492253	ar	-29.081618640740256	-59.68137766762387	769.466459
18	1	5eb9c2e197d6cf4bc8c17c07	Ca_Marsh	5	49.06044194593718	-81.02166884371292	ca	49.0604516983375	-81.0207612508257	0.066138
18	1	5e626d0512777c7a20431f1c	LordOozik	1	18.37977433974496	-65.84342720989409	pr	18.27694470479639	-66.77530272986166	99.025411
18	1	5e626d0512777c7a20431f1c	LordOozik	2	-33.70927340310164	19.031054856724655	za	-14.901315432130804	-48.807576397776224	7062.601139
18	1	5e626d0512777c7a20431f1c	LordOozik	3	7.873503017856356	-81.47478052487672	pa	-38.603941866575624	-71.41111883916041	5271.904803
18	1	5e626d0512777c7a20431f1c	LordOozik	4	-23.655072968484127	-64.47744443492253	ar	-32.39044243768183	-61.463825213378044	1015.217344
18	1	5e626d0512777c7a20431f1c	LordOozik	5	49.06044194593718	-81.02166884371292	ca	52.067498844924735	-87.21829784646917	550.473532
18	1	5e8fdfa9d51dd65c18f98403	Tbowfr	1	18.37977433974496	-65.84342720989409	pr	17.05354463700316	-94.86809492649813	3074.662882
18	1	5e8fdfa9d51dd65c18f98403	Tbowfr	2	-33.70927340310164	19.031054856724655	za	13.156452968452246	-15.352722362818035	6356.798154
18	1	5e8fdfa9d51dd65c18f98403	Tbowfr	3	7.873503017856356	-81.47478052487672	pa	3.4355134900945927	-73.66303291005269	995.146166
18	1	5e8fdfa9d51dd65c18f98403	Tbowfr	4	-23.655072968484127	-64.47744443492253	ar	-12.802206505355421	-59.073189160052685	1334.461487
18	1	5e8fdfa9d51dd65c18f98403	Tbowfr	5	49.06044194593718	-81.02166884371292	ca	42.75423753873772	-76.65131416005269	778.160171
19	1	677485108d7eb43c58f713b3	Master__Of__Kitten	1	55.91054006960211	11.538941553832316	dk	36.58896988789658	-83.85783119409783	7024.381843
19	1	677485108d7eb43c58f713b3	Master__Of__Kitten	2	64.9742268980229	29.41879640719213	fi	62.89244150536911	25.02636326195064	315.529765
19	1	677485108d7eb43c58f713b3	Master__Of__Kitten	3	18.774540523489406	-103.62778439940335	mx	-1.6717495729521483	-78.79027953034489	3541.206973
19	1	677485108d7eb43c58f713b3	Master__Of__Kitten	4	52.96606333235849	10.31101991664283	de	55.673480931667335	9.419910118938128	306.541307
19	1	677485108d7eb43c58f713b3	Master__Of__Kitten	5	46.80070571149915	-2.0151754053325357	fr	47.962737284582346	0.7432222630669427	244.574871
19	1	5e626d0512777c7a20431f1c	LordOozik	1	55.91054006960211	11.538941553832316	dk	58.71045549197326	25.485207299790822	891.513704
19	1	5e626d0512777c7a20431f1c	LordOozik	2	64.9742268980229	29.41879640719213	fi	67.82950335893679	32.11609754809201	339.359850
19	1	5e626d0512777c7a20431f1c	LordOozik	3	18.774540523489406	-103.62778439940335	mx	-13.409181808304538	-50.99714271597937	6786.212324
